registry,mode,referrers,push_ms,fallback_ms,query_ms,control_ms,body_bytes
cairn,native,100,0.517,0.000,0.608,0.162,28279
cairn,native,200,0.593,0.000,0.772,0.125,56579
cairn,native,300,0.537,0.000,1.136,0.139,84879
cairn,native,400,0.759,0.000,1.541,0.141,113179
cairn,native,500,0.582,0.000,2.046,0.166,141479
cairn,native,600,0.669,0.000,2.586,0.155,169779
cairn,native,700,0.545,0.000,2.795,0.211,198079
cairn,native,800,0.551,0.000,3.176,0.168,226379
cairn,native,900,0.576,0.000,3.583,0.147,254679
cairn,native,1000,0.569,0.000,3.575,0.163,282980
cairn,native,1100,0.673,0.000,4.104,0.143,311380
cairn,native,1200,0.548,0.000,4.363,0.176,339780
cairn,native,1300,0.470,0.000,4.403,0.151,368180
cairn,native,1400,0.542,0.000,5.109,0.157,396580
cairn,native,1500,0.628,0.000,5.510,0.170,424980
cairn,native,1600,0.706,0.000,5.992,0.147,453380
cairn,native,1700,0.575,0.000,5.953,0.173,481780
cairn,native,1800,0.595,0.000,6.663,0.152,510180
cairn,native,1900,0.567,0.000,6.728,0.140,538580
cairn,native,2000,0.561,0.000,6.920,0.150,566980
cairn,native,2100,0.416,0.000,6.981,0.160,595380
cairn,native,2200,0.681,0.000,7.491,0.154,623780
cairn,native,2300,1.000,0.000,8.135,0.161,652180
cairn,native,2400,0.480,0.000,8.464,0.208,680580
cairn,native,2500,0.540,0.000,8.785,0.112,708980
cairn,native,2600,0.504,0.000,8.953,0.149,737380
cairn,native,2700,0.760,0.000,8.729,0.196,765780
cairn,native,2800,0.700,0.000,9.687,0.184,794180
cairn,native,2900,0.610,0.000,9.607,0.202,822580
cairn,native,3000,0.540,0.000,10.268,0.161,850980
