record,expected_referrers,cairn_ms,zot_ms
baeareia24li6mdmmjw4hzlodbdz54ppglquxv2wmpdx6p62xef7x6gqvoe,4,0.338,9183.559
baeareiakj7a3lq24ohpxgy4ufdbg57inntell63vdojhuak3pw4evzn364,4,0.886,9181.519
baeareib3f2glnimab7tntpfd5syjhb2njfbkbksvlngwvs37miwp7rfy5u,4,0.394,9259.922
baeareibm53ew5dyjs2mdrsbc22up334bhpv4kpa42sbyppqpqa27w6l6zy,4,1.099,7757.897
baeareic74b5ootumry64nkc6fcnpp4kppcddspocyevqoyf7tq5rovy26e,7,1.211,6787.234
baeareicqe6rjplrp3irrkrevpzzaxrdegskwkwugs25mgr6vkremcz5o34,4,0.43,6560.487
baeareida5jcnjskyymisgiyxernl3z4lhib5wzq3aukculbfnmqqrcxsmm,5,0.312,6897.08
baeareidrqsh4enoq3il3gb5mexvjjdzwnvvgs3fzwl2e4az7mmae4o3zv4,3,0.28,6632.691
baeareiechcy4thob67odcdaavtyod24rdo3ladqnx5mxsjunh63gzj53im,4,0.666,6659.746
baeareietwaocqb6lduupuomhu2edegy5iqxsjqefmkynyylrbsyejayimy,4,0.582,6642.151
baeareifgs6avwoktvoki6hmli543wvcoguacgvdxyfybxuxmhg2vl5ue5i,7,0.278,6320.943
baeareifzuszawfsdozljbul4wfrdm4xgbeho5bqrn376hsdbo72466akxy,4,0.776,5856.444
baeareigkdxz4i2ruk2rdb5r56mewqcvrbg7lap66pcljh6h4crfrryo2dq,4,0.431,5985.096
baeareih3mqgtzfij7647vp52h26ycvcjp2sgrief2d3zyzeevw2kam6yfe,2,0.75,5895.436
baeareihjv6hy7uy2who7htegvm6htf5d5axceseo56dt6gnurjffslz6ru,5,0.298,5962.287
