registry,mode,referrers,push_ms,fallback_ms,query_ms,control_ms,body_bytes
distribution,fallback,100,2.745,6.597,1.114,0.315,28279
distribution,fallback,200,2.618,8.163,1.593,0.320,56579
distribution,fallback,300,2.467,11.143,2.279,0.362,84879
distribution,fallback,400,2.685,11.865,2.926,0.380,113179
distribution,fallback,500,3.317,15.448,3.667,0.376,141479
distribution,fallback,600,2.418,14.226,4.037,0.350,169779
distribution,fallback,700,2.956,21.907,4.989,0.379,198079
distribution,fallback,800,2.610,22.553,5.733,0.400,226379
distribution,fallback,900,2.679,22.170,6.316,0.371,254679
distribution,fallback,1000,2.393,23.036,6.944,0.392,282980
distribution,fallback,1100,2.986,26.743,7.578,0.388,311380
distribution,fallback,1200,2.384,27.645,7.797,0.405,339780
distribution,fallback,1300,2.370,30.667,9.083,0.408,368180
distribution,fallback,1400,2.300,29.159,9.922,0.349,396580
distribution,fallback,1500,2.605,28.684,9.793,0.416,424980
distribution,fallback,1600,2.480,35.794,11.923,0.402,453380
distribution,fallback,1700,2.479,32.239,11.680,0.411,481780
distribution,fallback,1800,2.715,32.493,11.857,0.398,510180
distribution,fallback,1900,2.285,39.029,12.586,0.365,538580
distribution,fallback,2000,2.908,47.322,16.025,0.441,566980
distribution,fallback,2100,2.670,48.647,16.690,0.389,595380
distribution,fallback,2200,2.478,51.710,14.282,0.421,623780
distribution,fallback,2300,3.612,47.944,15.319,0.393,652180
distribution,fallback,2400,2.263,45.763,16.852,0.959,680580
distribution,fallback,2500,2.774,55.749,19.922,0.460,708980
distribution,fallback,2600,2.773,57.073,20.643,0.406,737380
distribution,fallback,2700,2.633,53.003,16.759,0.411,765780
distribution,fallback,2800,2.421,62.830,22.492,1.102,794180
distribution,fallback,2900,2.600,53.260,18.796,0.361,822580
distribution,fallback,3000,2.664,57.790,19.346,0.447,850980
