record,referrers,cairn_ms,source_ms
baeareia2v4jiem3tszw4rglv4rmem5ra76zx7c7ojbmesdyxzwtotbon7u,4,0.583,565.445
baeareia5h5nn4oiljak2h235qs32nu5j53pf7pee2nw6aiaqjqifviregm,4,0.767,596.497
baeareiablpgkb6l4b4rsfibcjmmd6ui3cwpdtokmz4hdzhjkx32rxmpjpq,7,0.498,552.317
baeareiacwqpprtgqcewtrf4grczlpjwlkympcqb45d7hglifkzqeqcqqv4,4,0.516,563.625
baeareiado3gpb7czwoe2hyyx7r2psrludj6fnstxmi3jsfi6xbkald4k2y,3,1.226,576.992
baeareiadr77h2t6467kxjk4h2vmg2j4uqe6cvwsbzfckdxvkdfe34yfy2e,4,0.567,566.233
baeareiae7misr3kqhx4h4l5nmv4cfa6vs7gmnldif23yucge5te33ywrnu,3,0.453,559.9
baeareiapr4kfqc7kc4k6mloa3zqzebe3vzn3vkiuytdvwk4rn7qr7fnmn4,8,0.481,601.909
baeareib2qicghgux4dglcjfdyqzl7vglbzfy7jo2xdsmb7gkgn5v5odsra,2,0.414,569.014
baeareib5isgci5vsiyne2i62ddovvbzpg66te7y3n56gwrvrlh4m34lnjq,4,0.628,552.361
baeareibdhguspg4kvlfbxhtrivaiz6ietzibf5ivl4b7tl2drhkblx7sdm,7,0.584,603.755
baeareibiw3bswnag7tu3aubib5n7f5cav7xkkv2vv55i3kww4vol3fmht4,6,0.434,570.133
baeareicemsrzrmccd7o7r3ttpliy6w25eunyfug27vvzhhouwozhzry24e,3,0.55,563.971
baeareichqeozlmrniacyu46ciz7klmm3dcxmti5yfyematzyfmfn7t6yba,4,0.601,563.988
baeareicjxplmendsyjdo3ydgdbxxb3754sahnghidgmhgct7ussjv7u6ue,4,1.332,552.632
baeareicme6kksqm35p4uwmpblwrkjzg4qkper4quczjt7tvpwalctzr4vy,7,0.416,607.162
baeareicvunlz657pvoj5af4ictqey7vpcrwduabnezk4febmgcrxv4cmye,3,0.472,579.001
baeareicysjtsjajybsmnco37uugqc2fztquvm7fkomgjbfgquckem6cv5y,4,0.615,554.864
baeareidljqbkrkf53bmupexgwfyg4rguznhmvxy3h7s2wbfl66c4gi4dae,3,0.892,552.162
baeareiebn2av6ueyth664bhzbixgy5oky2byqv6zeacjin4qgmyi62lkx4,3,0.898,558.287
baeareiecbdju4ar2ktxchlwpzgw7auudie4uvgd22qvvdg2ycb2sgwrqg4,4,1.154,572.689
baeareiefvjytjxjejd66j5365zyjdgglwvzzwyisal7iygl6uoj2fvs7um,3,0.722,553.81
baeareier3gdla6gb7bdlyjuahdsmdaoa52cums5uk5d5ekapzkrl4bajhu,3,0.502,557.822
baeareievb3b3pwgosapsf7gqpkk5wbyxl3mlnkptg6q7elgwcl2lukxld4,5,0.609,541.799
baeareiey24af42becpp7xspimr6pffdzqm5jlq7qs5capaxhmdy7o2eu5a,4,0.756,550.262
