registry,mode,referrers,push_ms,fallback_ms,query_ms,control_ms,body_bytes
zot,native,100,2.022,0.000,1.204,0.444,28279
zot,native,200,4.120,0.000,2.320,0.403,56579
zot,native,300,2.585,0.000,3.392,0.578,84879
zot,native,400,3.896,0.000,4.146,0.509,113179
zot,native,500,3.206,0.000,4.714,0.657,141479
zot,native,600,4.988,0.000,5.699,0.593,169779
zot,native,700,3.784,0.000,6.530,0.551,198079
zot,native,800,4.444,0.000,7.311,0.647,226379
zot,native,900,4.241,0.000,8.533,0.843,254679
zot,native,1000,4.359,0.000,8.569,0.717,282980
zot,native,1100,5.559,0.000,9.851,0.806,311380
zot,native,1200,4.911,0.000,11.256,0.716,339780
zot,native,1300,5.109,0.000,11.513,0.788,368180
zot,native,1400,5.422,0.000,13.289,1.067,396580
zot,native,1500,6.685,0.000,13.329,0.977,424980
zot,native,1600,7.045,0.000,14.356,0.907,453380
zot,native,1700,7.514,0.000,15.760,0.898,481780
zot,native,1800,8.431,0.000,16.766,0.890,510180
zot,native,1900,7.241,0.000,17.801,0.948,538580
zot,native,2000,8.215,0.000,18.773,1.046,566980
zot,native,2100,8.694,0.000,19.569,1.039,595380
zot,native,2200,9.008,0.000,20.210,1.179,623780
zot,native,2300,9.007,0.000,20.467,1.167,652180
zot,native,2400,10.314,0.000,20.908,1.209,680580
zot,native,2500,10.011,0.000,21.519,1.133,708980
zot,native,2600,9.885,0.000,23.209,1.271,737380
zot,native,2700,11.099,0.000,22.924,1.437,765780
zot,native,2800,10.372,0.000,24.645,1.321,794180
zot,native,2900,11.070,0.000,26.654,1.909,822580
zot,native,3000,11.464,0.000,26.772,1.545,850980
